Transaction_ID,Date,Product_Category,Product_Name,Units_Sold,Unit_Price,Total_Revenue,Region,Payment_Method
10062,02-03-2024,"Home Appliances","Philips Airfryer XXL",2,199.99,399.98,Europe,PayPal
10063,03-03-2024,Clothing,"Hanes ComfortSoft T-Shirt",10,9.99,99.9,Asia,"Debit Card"
10064,04-03-2024,Books,"Where the Crawdads Sing by Delia Owens",4,18.99,75.96,"North America","Credit Card"
10065,05-03-2024,"Beauty Products","Lancome La Vie Est Belle",1,102,102,Europe,PayPal
10066,06-03-2024,Sports,"Garmin Edge 530",2,299.99,599.98,Asia,"Credit Card"
10067,07-03-2024,Electronics,"Samsung QLED 4K TV",1,1199.99,1199.99,"North America","Credit Card"
10068,08-03-2024,"Home Appliances","Eufy RoboVac 11S",3,219.99,659.97,Europe,PayPal
10069,09-03-2024,Clothing,"Puma Suede Classic Sneakers",4,59.99,239.96,Asia,"Debit Card"
10070,10-03-2024,Books,"The Great Gatsby by F. Scott Fitzgerald",2,10.99,21.98,"North America","Credit Card"
10071,11-03-2024,"Beauty Products","Drunk Elephant C-Firma Day Serum",1,78,78,Europe,PayPal
10072,12-03-2024,Sports,"Nike Metcon 6",3,129.99,389.97,Asia,"Credit Card"
10073,13-03-2024,Electronics,"HP Spectre x360 Laptop",1,1599.99,1599.99,"North America","Credit Card"
10074,14-03-2024,"Home Appliances","De'Longhi Magnifica Espresso Machine",1,899.99,899.99,Europe,PayPal
10075,15-03-2024,Clothing,"Tommy Hilfiger Polo Shirt",5,49.99,249.95,Asia,"Debit Card"
10076,16-03-2024,Books,"To Kill a Mockingbird by Harper Lee",4,14.99,59.96,"North America","Credit Card"
10077,17-03-2024,"Beauty Products","Glossier Boy Brow",2,16,32,Europe,PayPal
10078,18-03-2024,Sports,"Rogue Fitness Kettlebell",3,69.99,209.97,Asia,"Credit Card"
10079,19-03-2024,Electronics,"Apple AirPods Pro",2,249.99,499.98,"North America","Credit Card"
